Zoom Meeting 
Wed. Jun 19, 2024

0:56 - Unidentified Speaker Now you.
1:32:13 - Craig Swanson I guess it depends a little bit on what it is, you know, but, but like, I'm recording this because I'm gonna just try to throw this on a page and see what it looks like, Okay.

1:32:26 - Jim Huffman Can I do black and white or something to make it more epic? It's not so much epic.

1:32:31 - Craig Swanson It's honestly, it's not epic. It is. So I'm gonna, I'm gonna end that right now and just, well, why not let it keep going? Um, and there's also, and I don't know if I can articulate, the one thing I'm realizing is, um, And even like with you, you're in the industry, like you do all this stuff, but you, you're not a content creator, like, or, or you are, you are an audio content creator. You're an audio and written content creator.

1:32:59 - Unidentified Speaker Yeah. Yeah.

1:33:00 - Jim Huffman Video is very much amateur level. Yeah.

1:33:04 - Craig Swanson Um, and like, I guess there are all these skills around that, but like, like that, so I'm just, is getting like some type of this and, and a lot of people end up like making stuff that doesn't draw you in because it looks too professional. It looks polished. It looks produced and, and like this angle, this angle is the angle that says Jim has something to say. Yeah. It's like leaning in. Mm-hmm, but it's but you know, but there's a little bit of a there's a light leak like they're these other things where what you'd end up doing is you end up putting like a better quality lens in the same angle like you're trying to like But you're trying to like create those emotional cues as if there is something happening here. Yeah. Yeah Mm-hmm Very cool.

1:33:47 - Unidentified Speaker No, I'm down.

1:33:48 - Jim Huffman I mean So as far as like, you know, what all is needed for the website? Mm-hmm You let, yeah, I guess let me know if we have the stage.

1:33:59 - Jim Huffman We'll come back to what I need for the website, the website. I mean, honestly, the website.

1:34:05 - Craig Swanson We just need a looping video or a graphic that is not a, that can just basically be the background for a very simple call to action message. Yeah, absolutely.

1:34:22 - Jim Huffman With a button and

1:34:26 - Craig Swanson That's it. Like, like, until we have something better to say, like, I don't try to fill up the page with copy.

1:34:32 - Jim Huffman No, I like it. And then this kind of leads to the big thing. What, what are we selling again? Um, as far as, you know, the sold out playbook versus the growth market operating system, the, the, the big tasks, right. On how. On what we're selling like what you need for me because I'm kind of going full steam ahead on both where I've literally broken down the modules of Everything I would need to do or is it right here? So I have my modules of like For sold-out playbook everything I'd want to do do I have the slides done do I actually have the workbook? Deliverable to help them do it. I'm working on the script and then doing the same thing for for this because I'm I'm the bones are there like I like the recording I gave for you for this and I feel very confident that I could polish that up and give you that deliverable. This one is a little heavier, but I feel like all this stuff, I have it basically in the offer workbook where I seem to pull it together.

1:35:48 - Craig Swanson I'm going to, I'm going to, I'm going to say the sold out playbook is the one that I think we should go for to start with. And I think, I think to some degree we can shift that based on what we get. So basically like the, the layers are going to be, get a webpage up with some type of promise, some type of call to action, some type of button, get on the wait list. Um, we can start doing a bunch of list generating with basically your Figma, with like the existing stuff you've got.

1:36:26 - Craig Swanson And if we feel like we are getting traction in either of those things, then we can basically put a date on when the first one's released and we can basically start to actually like start to take pre-orders on something.

1:36:42 - Jim Huffman Okay, well, one call out on the this right here.

1:36:50 - Jim Huffman Not all of these are a part of the sold out playbook, which that's probably fine. But just kind of saying that that I don't think these are all pretty relevant to the growth marketing operating system, the system, if you will. Some of them definitely are for could go into that, but just kind of calling that out.

1:37:14 - Jim Huffman Let's say I'm just kind of think I'm not that worried about that. So, OK, so first of all.

1:37:22 - Craig Swanson Well, let me put this way, if one of them was absolutely kicking ass. We could make an argument about how you incorporate it into something. Like, let's say that everyone wanted to buy the growth marketing playbook, the sold out, the sold out playbook. And everyone was clicking on an ad that wasn't really designed to be in there. First answer would be, well, can we just put it in there? Can we just like, you know? Yeah.

1:37:46 - Jim Huffman Oh yeah, we can find a way to back it in.

1:37:49 - Unidentified Speaker Gotcha.

1:37:55 - Jim Huffman But the good thing is, this absolutely leads, it leads to both, right? Are you ready to grow? So that's great. If this ends up winning, game on. And it's like, these are the four sections to answer.

1:38:09 - Craig Swanson For my recording that I got of you, Did you go through this? Are you ready to go? Did you walk through that? I went through this.

1:38:18 - Jim Huffman However, I didn't have all four of these. I can re-record something to incorporate all of these. I can easily do that. Okay. Um, cause I, by the way, sidebar, I freaking love this. Like I love this so much. I, um, I use it a lot. I, this needs to be, I'm sure, um, open AI will have this. I mean, there are things that kind of already do this, but I, I just love this.

1:38:50 - Craig Swanson Might be a product there, by the way, look at Jim bio at some point, like I've been trying to like write, um, I should probably make those downloadable too, so you can see them, but basically I've been trying to like pull together your bio that I can use from various things. I think I've pulled together another bio one that I need to upload. Oh, cool.

1:39:08 - Jim Huffman But I'm sorry. I derailed us. Um, yes. So yeah, this lead magnet absolutely aligns with both. Um, so that's great. So I feel good about that. All right. So as far as next steps, our read AI will help summarize all this, but like you're setting this up, I'm going to get you access assets. I can add in the free PDF. I'll provide some as well. The lead magnet working on this, you're going to get the website set up and hit me up with other things that are needed. Okay. A lot of progress on this, man. I'm very excited.

1:39:49 - Craig Swanson So the other thing is let's talk about the EO, the three hour, the three hour thing you're doing for EO. Oh, it's three hours.

1:39:56 - Jim Huffman All right.

1:39:57 - Craig Swanson Um, I think we're holding the, uh, August 29th, I think was the date. Okay.

1:40:03 - Jim Huffman Let me, so that's confirmed the 29th. I'm going to, none of them are confirmed.

1:40:07 - Craig Swanson I can't get them to like, I can't get, I can't get venues to actually like, I'm incredibly frustrated right now. I feel like I feel like it's my job to basically book this stuff out and just nothing is happening. Oh, it's the worst. And I was pretty clear, like I am a content guy, I am not an event guy like, you know, I like the event. The event is a required thing to give my content a place to go.

1:40:34 - Unidentified Speaker Yeah.

1:40:37 - Jim Huffman Yeah.

1:40:39 - Craig Swanson Let me let me actually let me check what I what I said, Lindsay.

1:40:46 - Craig Swanson dates.

1:41:13 - Craig Swanson No, not that.

1:41:29 - Craig Swanson Let's see here.

1:42:43 - Craig Swanson Well, I'm not finding the thread, but I think, I think I had checked about August 29th with you. Yeah, that works.

1:42:50 - Jim Huffman For me.

1:42:50 - Craig Swanson Um, well, I mean until so let's hold it. Let's if you if you can if you can block it out The event is gonna be a half. So be a three hours cool And I'm just looking for the name of it. And so what I was playing with was I Really like sold out so I'm playing with the sold-out marketing I'm trying to figure out what three hours feel like,

1:43:15 - Jim Huffman Here's my issue with sold out. I feel like that speaks more to a B2C company, and I feel like EO leans heavier B2B, and it might not resonate as well. I think that's true.

1:43:29 - Craig Swanson But everything you do is B2C, isn't it? Do you help people who are B2B?

1:43:34 - Jim Huffman So 60, 70% our clients are B2C for sure. That's where we're really good and we thrive and excel. But like we, the agency started on B2B and startups and 30% plus is B2B. Um, so I, I feel pretty good going both avenues. Um, but just kind of calling that out. Cause my only concern is like, if, if we lean super heavy into consumer happy to do that, but it's like, does that, help the audience or like the network.

1:44:08 - Craig Swanson So let's lean into your strengths. So let's talk about where you can be an expert.

1:44:13 - Unidentified Speaker Yeah.

1:44:15 - Craig Swanson And you sell yourself B2B. So I'm not arguing against your expertise, but I'm not afraid of, as long as it's clear, I'm not afraid of creating a description that not everybody comes to, but the people who come to it are well-served.

1:44:28 - Unidentified Speaker Absolutely.

1:44:29 - Jim Huffman Because the other thing I'm thinking through is, For three hours, it depends on how interactive we want it to be and to do workshops, but to do... I just wear the sold-out playbook for the audience because it's more of going from zero to one and launching something that could be helpful, but I worry people will be like, yeah, I've got that. The operating system for growth or... It's like EOS, but for marketing, that's where the growth marketing operating system comes in. That's where I could go super deep. And like the sold out playbook could be a part of that. Cause that's a part of like launches and there's frameworks within that that would be involved. So I'm thinking out loud, it's like, for sure, let's say that's an option. The sold out playbook type of approach. That's one. The second would be like EOS, but for marketing or the growth operating system to get predictable revenue or income for your business. Cause I think where it thrives is if people want to nerd out on growth and how to like do founder led growth or, you know, how to stand up a marketing function and a team that really like gets to predictable revenue of hitting your goals. For me, that's where I think it can really resonate. And here's the other context. I do stuff with ANA where I have to do three-hour workshops for B2B enterprise companies, so I feel good flexing accordingly there. OK.

1:46:00 - Craig Swanson Let me ask you, what was the lead magnet we were going to do? Why isn't your business growing? What was the actual financing of it?

1:46:08 - Jim Huffman That's a good point. It could be all over around that.

1:46:11 - Jim Huffman I mean, because actually, Why isn't your company growing?

1:46:23 - Craig Swanson What if it were why isn't your company growing? Parentheses fast enough like or you like or you know what? Like literally like what what was the but I could be good cuz you got three hours I I think that if you basically came, okay, so first of all, if you had a mix of people that were coming in for B2B, B2C, and let's just say, let's say B2B, B2C, and confused. Does that cover the range? Yeah.

1:46:56 - Jim Huffman And just so you know, I just did one for a and a to a hundred people where I do a poll before every workshop. Cause I know the compliance I get and I asked them, are you B2B or B2C? Because if I just lean too heavy on B2C examples, B2B gets mad. If I lean too heavy on B2B, B2C gets mad. So yeah, I can flex accordingly. Okay.

1:47:18 - Craig Swanson And then you basically got the three reasons that they may not be growing. Mm. Which lead into solutions and paths on each of those. And basically, once you've covered that, you can also go down any other path you want to go down.

1:47:32 - Unidentified Speaker Yeah.

1:47:33 - Jim Huffman And that's where it could be fun. Anyway, that could be part of the workshop. I have them like, hey, here's a break. I want you to do this physical and answer these questions. Because I'm trying to think through how many breakouts I do in exercises, but this could be one.

1:47:52 - Jim Huffman And this would actually be a great one, too. They could go in small groups.

1:47:58 - Craig Swanson Why isn't your company growing? What's blocking your growth? Positioning problem, traffic problem, conversion problem. And then based on the answer to that, you're effectively giving a little mini clinic on how you approach those three things. Yeah, no, absolutely.

1:48:13 - Jim Huffman And that could be fun. It's like, all right, based on your problems, the next the rest of this workshop, people have a position problem, I'm going to help you people have a traffic problem to help you people, the conversion problem, I'm going to help you. And like, we kind of break it up that way.

1:48:26 - Craig Swanson Alright, so if we're looking at EO for looking at EO, Why isn't your company growing? I actually feel like that, like I'd want to do something in there. I think that's a fantastic ad, but we have people in EO that are actually that need to hear this, that are growing.

1:48:45 - Unidentified Speaker Yeah.

1:48:45 - Jim Huffman Wait, they are growing, but they need to hear this. Like you're not going fast enough or you're not growing the right way. Exactly.

1:48:50 - Craig Swanson Or what is blocking your company's growth? Yeah. All right. I like that. And it can be a position problem, be a traffic problem, conversion. By the way, like that feels, I mean, that feels like, Kind of like so fundamental. Is there anything else it could be? Fulfillment.

1:49:07 - Jim Huffman I've added this one. Because like I read... Oh, like you.

1:49:13 - Craig Swanson Like literally for neat. Literally for neat. You don't have a positioning problem. You don't have a traffic problem. You don't have a conversion problem.

1:49:19 - Jim Huffman Yeah, by the way, we're running, we're running into this issue with growth hit right now. And I'm thinking about for, um, this workshop, I might only do two case studies, but it would be a neat case study through the entire thing and a growth hit case study through the entire thing. And just be very transparent with what we're doing well and not. No.

1:49:38 - Craig Swanson Um, I like that by the way, pricing. So, so pricing, um, Pricing, I'm just, let me just, so pricing, I mean, it could be a positioning problem. It could be a conversion problem. It's probably positioning or conversion if I have a fundamental pricing disconnect, right?

1:49:58 - Jim Huffman Yeah, that's a good call. I think of that as value to value and pricing.

1:50:06 - Craig Swanson Well, but you'd also don't have value here either. So I'm assuming value is either positioning or conversion.

1:50:12 - Unidentified Speaker Got you.

1:50:13 - Jim Huffman Yeah, it's like positioning or conversion. Sorry, did you see pricing somewhere on here? Is that something?

1:50:18 - Craig Swanson No, I was just trying to think I was looking at this statement about what's blocking your growth. And I was like picturing those in a lecture hall. And the professor just said that. And I'm basically trying to like, I'm just trying to say, do I agree with that? Is it is like, you know, is that what else?

1:50:33 - Jim Huffman What am I missing here? Yeah. All right. So so fulfillment.

1:50:36 - Craig Swanson I ask you if there's anything missing. So fulfillment. Absolutely.

1:50:41 - Craig Swanson Pricing for me, at least the way I think about pricing, pricing is either positioning in the market or it's a conversion tool. Does pricing stand in the way of me purchasing or is pricing like a signaling of value statement?

1:50:55 - Craig Swanson If I'm not providing value, that's either positioning or conversion.

1:51:02 - Craig Swanson I'm not making money, but you didn't say anything about profitability. Profitability is not really on this plate.

1:51:08 - Jim Huffman Um, it is here on, are you converting customers in an ROI positive way? Um, so a little bit, these are good call outs that you're saying that I just want to like process in a membership company, in a membership company, um, churn.

1:51:30 - Craig Swanson So like, like there are deeper places I would go. Positioning, traffic, conversion. I mean, on the fundamental level, you can say, well, your churn is just a matter of you're not refilling your basket fast enough. But there's some level where you can basically, once you've determined your ROI, once you've determined your cost of acquisition, once you've determined your churn, smart people in math can actually basically tell you when your membership is going to cap out. Right.

1:51:57 - Jim Huffman It's like consumer products are the worst because if they have like a 6% churn rate, it's like, Oh, you've got to buy new X, like over 50% new customers every year or whatever.

1:52:07 - Unidentified Speaker Yeah.

1:52:08 - Craig Swanson So I can see an argument, like someone who is selling a churn solution could totally say churn is the problem you have. Mr. Mr. Consumer products person.

1:52:18 - Jim Huffman Yeah, I, yeah, I can try and flip that on the head where it's like, well, you have a churn problem because you actually don't have a good, um, a nice to have, or you don't have a true must have. And that's why they're turning and you messed up with your product and your positioning. Exactly.

1:52:35 - Craig Swanson You know, you're just, you're delivering people vegetables and a recipe card. And it turns out that past a certain point, they don't need to have that.

1:52:43 - Unidentified Speaker Yeah.

1:52:44 - Jim Huffman Yeah.

1:52:47 - Unidentified Speaker Okay.

1:52:48 - Craig Swanson Think I'm gonna play with that. It's like why isn't your company growing? Why isn't your company going fast enough? What's blocking your growth? I'm gonna play with those see if I get down to an headline for that make it a pain statement and And would you call this a workshop a clinic a Seminar what'll do the best?

1:53:12 - Jim Huffman Cause I can, I could talk for three hours. I'll pass out. Cause I do that sometimes I can make it really interactive and have worksheets. However, those could be hit or miss. Like if they're really engaged, it's great. Sometimes if I do more than honestly, two exercises, it's, it gets a little too loose. So I'm thinking maybe one breakout exercise.

1:53:37 - Jim Huffman I think in an initial breakout, like what's blocking your growth. I think.

1:53:43 - Craig Swanson And then you have people like working groups and then report what it was that they're blocking and see if you can get a sense of like where that is. And then I don't know how you work on some degree. Would you go linearly? Would you basically talk about positioning traffic problem or would you actually let the biggest one basically go first?

1:53:58 - Jim Huffman I kind of want to go linearly. Um, because what I'm also trying to do is like, I've been following how I got onboarded for EOS. I'm trying to see how I would do like operations where I start with I'm calling it the growth physical, but it's like what's blocking growth? And then like what's your team and tech stack to pull this off? I'm like introducing you to your how you run stuff. But really this is the meat of it. It's like strategy. And I think this is where the bulk of the what I'm going to do the workshop on is going to be about. I'm really excited. Well, actually now it's the leverage assessment, have a two X your business in 10 minutes that I'm really pumped to do this exercise on like, what are your leverage points? And like, are you focusing on this to get like a nonlinear leap in your business model?

1:54:58 - Jim Huffman So anyway, But sorry, I'm kind of, yeah, it'd probably be me. I'm going to think through the order. I don't know yet, actually.

1:55:07 - Craig Swanson In terms of what I need for EO, really, it's the title that's most important because the title is what we're going to create into the graphic and I just have to have Jessica change the graphic and we change the title.

1:55:20 - Jim Huffman I trust you. You're very good at headlines.

1:55:26 - Craig Swanson But it also has to tie to what you actually are going to do. I'm not someone that believes in just you have to lean into your instructor's strengths and talents and find out how to position that for the market rather than promise the market something separate from what your instructor is great at. For sure.

1:55:46 - Jim Huffman Yeah. Um, cool. Yeah. But, um, that idea of like why what's blocking growth, why your company isn't growing like a, a workshop to unpack what's blocking and find a way for predictable growth or revenue. And you can even put social proof, like Jim's taught at like, into it, Hot Wheels, I could give you like logos like text.

1:56:08 - Craig Swanson Where is the where is the best bio you have with all of your facts and figures on why we should trust you? I have no idea.

1:56:19 - Jim Huffman Let me either link the A&A website. I need to update that one saying a website, Jim.

1:56:30 - Craig Swanson See how they pushed you. Yeah, let's see.

1:56:48 - Jim Huffman Oh wow, this is old.

1:56:52 - Jim Huffman Okay. There's one option, this might not be the best. Maybe my LinkedIn.

1:57:06 - Jim Huffman I could, where the heck is it? Oh yeah, I like to clean this up. I could write a better one if you want me to.

1:57:14 - Craig Swanson By the way, Growth Barking Consulting has generated over a quarter million dollars in sales for clients. For some reason I thought you had, is that the accurate number now?

1:57:25 - Jim Huffman Roughly, yeah, is what we say.

1:57:29 - Craig Swanson I saw a billion somewhere, but maybe you were saying companies that have done it.

1:57:32 - Craig Swanson We say a quarter billion, so we can say billion. Okay, okay.

1:57:40 - Craig Swanson I've missed the asterisk.

1:57:42 - Jim Huffman I'm just trying to get the B word in there. Well, I totally owned it as billion.

1:57:51 - Jim Huffman I can get you a better bio, Jim, to send a bio.

1:57:58 - Craig Swanson And then you've only been, you're coming into your third year of EO. Is that correct? I think so.

1:58:03 - Jim Huffman Wow.

1:58:04 - Craig Swanson We must've talked like really close to the, when you first, your earlier first year, right? I think so.

1:58:09 - Unidentified Speaker Yeah.

1:58:11 - Craig Swanson Cause I, you played such a big part of my EO experience that like, how long have you been in?

1:58:16 - Craig Swanson I feel like you've been in for decades. I've been in for six years.

1:58:20 - Craig Swanson Oh, okay.

1:58:20 - Jim Huffman Well, I thought you'd been in a little bit. Actually, yeah.

1:58:24 - Craig Swanson So I'm coming into my sixth year, which is not that much more new. And if you had told me you'd been in longer than me, I would have bought it just because I wasn't really reaching out until... I think I was just starting to reach out and try to meet people in EO when we met. Yeah, I know.

1:58:45 - Jim Huffman I was talking about when I joined, I was much more proactive about that. When are you going to be president? When's the Craig Swanson reign?

1:58:53 - Craig Swanson I'm not.

1:58:56 - Craig Swanson I really don't think, I think that I know myself well enough to know that that is not the path for me. I'd probably be an active board member. I'm a really, really good backup.

1:59:12 - Jim Huffman to a good president.

1:59:13 - Craig Swanson And I kind of like lead from learning. And in fact, so based on how I was pitching it, Jim kind of basically, I mean, I don't know whether he's going to do this and I don't really care, but Jim is basically giving the most of the, like an additional amount of budget to learning. So basically learning is going to be distributing budget to other people as part of like working together. That's awesome.

1:59:32 - Jim Huffman It should be done.

1:59:34 - Craig Swanson I mean, well, I'm just advocating, like, one of my jobs is to basically, like, group with other people. So basically, I'm trying to, like, basically help other board members hit their goals, you know, by using learning events. That's cool, yeah. But no, like, it looks exhausting. Like, I'm not a maintain, like, 12 separate relationships with 12. I'm not really good at driving accountability into the system and at, like, leading a large group of people. I'm good at, like, like a smaller group, like an EO level size or EO accelerator level board.

2:00:06 - Jim Huffman Especially like leading other leaders that aren't dependent on me for their income. It's like, I don't know, that's a different game.

2:00:16 - Unidentified Speaker Yeah.

2:00:21 - Craig Swanson So who do you know in EO that you think is like, do you know Matt Hines? Yeah.

2:00:28 - Jim Huffman I mean, he's got his, uh, CMO coffee talk community that a lot of CMOs I know are in it that are pretty impressive, but yeah, he's, he seems pretty legit.

2:00:39 - Craig Swanson I was thinking about having him do something on like pipeline management. I would love to hear him talk.

2:00:47 - Craig Swanson Um, and I feel like it is, it's a separate kind of discipline. Oh my gosh.

2:00:51 - Jim Huffman Yeah, I would love something around pipeline and sales or account-based marketing, ABM. That would be very cool.

2:01:02 - Craig Swanson I'll tell you two other things I'm working on. We'll see whether they, you know, so I want to do some health ones that use other numerical markers than height, weight, and BMI. And so I want to do one on metabolism. We're basically where we set it up so that everybody that wants to can get their blood work done ahead of the event. And then you basically have a conversation around like your body health, your body metabolism and health using the numbers in your, in your blood work. Oh wow.

2:01:40 - Unidentified Speaker Yeah.

2:01:40 - Jim Huffman Yeah.

2:01:41 - Craig Swanson Um, and I'm talking with, with, uh, with Steven Wagner, uh, on Friday, um, I kind of want to do this just for the headlines I come up with, but basically they do tests of your stool, your excrement, your shit. And basically it's around health, around basically digestion and diet, using a full workup there.

2:02:11 - Craig Swanson Which the obvious headline is like, know your shit with like a little asterisk.

2:02:17 - Jim Huffman Man, I think you, from a learning chair perspective, if you do anything well, I think it's naming the courses, naming the workshops. If you do that in itself, it's like game, game over. Yeah.

2:02:32 - Craig Swanson Yeah. And then, and actually do that, promote them well. And then honestly, I can't, I it's, here's the thing. Nobody actually remembers most of the workshops anyway. Like they just remember what they read in the marketing. Yeah.

2:02:42 - Jim Huffman And honestly, it's like, even if one person shows up, have amazing photography. So people have FOMO where it's like, Oh, look at the event and all of the people that were there.

2:02:51 - Craig Swanson One of the things I always tell, I always tell we're putting together, I always have fewer chairs out than we're expecting. Yes. Oh, smart.

2:02:59 - Jim Huffman Yeah.

2:03:00 - Craig Swanson Oh, I didn't. So if I, if I was putting on a workshop with three people, you know, I'd put out like one or two chairs. And so in the third person shows, oh my goodness. Oh, we're so oversold. Let me go see if I can find a place to get you set up. Yeah.

2:03:13 - Jim Huffman Please do whatever you can to make sure mine is sold out. Like I want, like I'm down for it. I have as many people as possible. Um, so yeah.

2:03:22 - Craig Swanson We, it may not sell it. So we're not necessarily doing the same thing around sales. We're actually looking at, this is the thing I'm trying to do. Um, we're looking at doing a partnership with the Columbia tower club. Yeah. Um, so if this works out, you'd be doing it, the Columbia tower club, and we'd be opening it up to EO members as also Columbia tower club members. Well, that'd be great.

2:03:40 - Jim Huffman Love that.

2:03:41 - Craig Swanson Yeah Which is also a little bit more in the startup space. Like it's interesting Columbia Tower Club members. They are There they're a mix but actually ironically Columbia Tower Club is kind of positioning itself.

2:03:51 - Jim Huffman It's like a little teeny tiny we work space There's stuff super cheap and approachable I should probably just join because you get that and you get the collective like 250 a month What is the collective? It's a co-working lounge space in South Lake Union. That's pretty cool. You should go work out of there sometime. But it's like half restaurant, bar, lounge area. Then there's another part that has like a rock climbing wall and Pelotons and a showers and open working space.

2:04:25 - Jim Huffman But tech stars used to have it every Tuesday. So I'd go there sometimes.

2:04:32 - Craig Swanson Oh, I know that Kaiser was a member of that.

2:04:37 - Unidentified Speaker Hmm.

2:04:39 - Craig Swanson We're, we're trying to see if we can get everybody in EO, a membership at the Columbia tower club. Oh, just included.

2:04:46 - Jim Huffman Just include it.

2:04:46 - Craig Swanson I mean, who knows? Like there's a bunch of things. I just wish someone would give me an answer on where we're going to actually have our events. So let's keep all my instructors just. Just block out your entire calendar for me on the off chance that we might do something. Yeah, right.

2:05:02 - Jim Huffman That'd be awesome. Well, I'm not excited.

2:05:08 - Craig Swanson I'll have the AI go dig through and write up a summary of what we said. We're going to do, but like from my memory, it is basically setting up the Facebook ad account, getting us a domain page that we can put this on, trying to find something, maybe it's a video, something in there that basically you can hold that. And then create our first PDF, what do you call it?

2:05:38 - Unidentified Speaker Giveaway.

2:05:40 - Craig Swanson Download or download checklists or yeah, whatever they call it a monkey's paw.

2:05:50 - Unidentified Speaker Perfect.

2:05:52 - Jim Huffman Well, Craig, this is funny. I'm excited, man. Whatever. I'm down to go all in on this because I'm pretty fired up in the timing with the event. It's yeah, it's a good forcing function as well.

2:06:03 - Craig Swanson And the other thing, too, is if we position it right, you could also talk about it a lot on LinkedIn. We could push it out, and it's very much in alignment with everything else we're doing. Yeah.

2:06:11 - Jim Huffman Yeah, especially if this is opened up to the public or Tower Club members. That could be fun. Yeah.

2:06:16 - Unidentified Speaker Cool. Cool.

2:06:17 - Jim Huffman Well, more to come on my end, man. All right. Thanks a lot.

2:06:20 - Jim Huffman Yeah, thanks. Take care.

2:06:21 - Unidentified Speaker Bye.
